# Time-averaged data for fix pe_out
# TimeStep v_pot_energy
93400 -6.41835
93500 -6.40424
93600 -6.41422
93700 -6.41181
93800 -6.40245
93900 -6.40692
94000 -6.42488
94100 -6.42389
94200 -6.41242
94300 -6.40033
94400 -6.4144
94500 -6.42793
94600 -6.42025
94700 -6.42928
94800 -6.39298
94900 -6.39372
95000 -6.40796
95100 -6.41232
95200 -6.39966
95300 -6.40559
95400 -6.40797
95500 -6.37944
95600 -6.38439
95700 -6.39955
95800 -6.40661
95900 -6.40844
96000 -6.41794
96100 -6.39816
96200 -6.39248
96300 -6.38736
96400 -6.41125
96500 -6.41216
96600 -6.40823
96700 -6.40033
96800 -6.39962
96900 -6.39844
97000 -6.40902
97100 -6.41013
97200 -6.40799
97300 -6.40605
97400 -6.40879
97500 -6.42221
97600 -6.43111
97700 -6.40902
97800 -6.41384
97900 -6.41629
98000 -6.42921
98100 -6.43104
98200 -6.41305
98300 -6.40537
98400 -6.3964
98500 -6.41022
98600 -6.41591
98700 -6.41542
98800 -6.43158
98900 -6.43304
99000 -6.41236
99100 -6.42183
99200 -6.42113
99300 -6.41743
99400 -6.42349
99500 -6.41528
99600 -6.4093
99700 -6.40936
99800 -6.39978
99900 -6.41115
100000 -6.42959
100100 -6.42425
100200 -6.41397
100300 -6.37175
100400 -6.38984
100500 -6.40683
100600 -6.41205
100700 -6.40578
100800 -6.39925
100900 -6.39613
101000 -6.39033
101100 -6.39637
101200 -6.40737
101300 -6.41708
101400 -6.43565
101500 -6.42744
101600 -6.41797
101700 -6.40036
101800 -6.4029
101900 -6.40724
102000 -6.41993
102100 -6.42497
102200 -6.42591
102300 -6.4141
102400 -6.41239
102500 -6.43003
102600 -6.42577
102700 -6.41195
102800 -6.41103
102900 -6.41083
103000 -6.4176
103100 -6.43322
103200 -6.44606
103300 -6.43132
103400 -6.41444
103500 -6.41399
103600 -6.42398
103700 -6.4385
103800 -6.42095
103900 -6.44396
104000 -6.43334
104100 -6.41295
104200 -6.41996
104300 -6.42029
104400 -6.42784
104500 -6.41261
104600 -6.40783
104700 -6.39112
104800 -6.40275
104900 -6.43093
105000 -6.41718
105100 -6.42296
105200 -6.42595
105300 -6.42487
105400 -6.40784
105500 -6.41896
105600 -6.40407
105700 -6.4137
105800 -6.41495
105900 -6.39393
106000 -6.4154
106100 -6.40907
106200 -6.41111
106300 -6.41763
106400 -6.4272
106500 -6.42172
106600 -6.41158
106700 -6.41493
106800 -6.41068
106900 -6.41816
107000 -6.43112
107100 -6.39948
107200 -6.40912
107300 -6.41523
107400 -6.4084
107500 -6.41326
107600 -6.4115
107700 -6.41725
107800 -6.41523
107900 -6.39398
108000 -6.40928
108100 -6.42047
108200 -6.41749
108300 -6.42016
108400 -6.41117
108500 -6.40367
108600 -6.39535
108700 -6.41456
108800 -6.40743
108900 -6.42224
109000 -6.42024
109100 -6.41007
109200 -6.41152
109300 -6.42028
109400 -6.42078
109500 -6.40879
109600 -6.40503
109700 -6.38465
109800 -6.39728
109900 -6.40619
110000 -6.42686
110100 -6.41389
110200 -6.41613
110300 -6.42126
110400 -6.40877
110500 -6.42197
110600 -6.42672
110700 -6.406
110800 -6.40877
110900 -6.40801
111000 -6.40169
111100 -6.41381
111200 -6.43721
111300 -6.43286
111400 -6.40074
111500 -6.40707
111600 -6.40083
111700 -6.41442
111800 -6.43006
111900 -6.43516
112000 -6.41728
112100 -6.4109
112200 -6.41035
112300 -6.42205
112400 -6.42055
112500 -6.41256
112600 -6.42275
112700 -6.41294
112800 -6.40951
112900 -6.42289
113000 -6.42592
113100 -6.41335
113200 -6.40227
113300 -6.40307
113400 -6.42341
113500 -6.41173
113600 -6.428
113700 -6.4451
113800 -6.43471
113900 -6.43667
114000 -6.42432
114100 -6.4293
114200 -6.42848
114300 -6.41838
114400 -6.43272
114500 -6.43603
114600 -6.41904
114700 -6.427
114800 -6.42008
114900 -6.43108
115000 -6.44802
115100 -6.43184
115200 -6.41967
115300 -6.41882
115400 -6.42847
115500 -6.42287
115600 -6.43397
115700 -6.42909
115800 -6.41633
115900 -6.43736
116000 -6.44852
116100 -6.4446
116200 -6.42162
116300 -6.43055
116400 -6.43783
116500 -6.44646
116600 -6.44761
116700 -6.4285
116800 -6.42655
116900 -6.429
117000 -6.42911
117100 -6.44455
117200 -6.42769
117300 -6.44132
117400 -6.4277
117500 -6.4173
117600 -6.41555
117700 -6.44274
117800 -6.42941
117900 -6.4354
118000 -6.41488
118100 -6.42878
118200 -6.42577
118300 -6.45986
118400 -6.44087
118500 -6.43791
118600 -6.44302
118700 -6.4293
118800 -6.44064
118900 -6.44309
119000 -6.42578
119100 -6.43726
119200 -6.44193
119300 -6.44857
119400 -6.43732
119500 -6.44203
119600 -6.44572
119700 -6.44578
119800 -6.44584
119900 -6.45958
120000 -6.44143
120100 -6.43374
120200 -6.43573
120300 -6.44325
120400 -6.45068
120500 -6.45161
120600 -6.45884
120700 -6.4309
120800 -6.44598
120900 -6.44052
121000 -6.44698
121100 -6.45066
121200 -6.44941
121300 -6.4617
121400 -6.44639
121500 -6.46761
121600 -6.47377
121700 -6.46794
121800 -6.47247
121900 -6.44726
122000 -6.45265
122100 -6.45285
122200 -6.4494
122300 -6.4522
122400 -6.45513
122500 -6.44698
122600 -6.47194
122700 -6.47227
122800 -6.47495
122900 -6.44535
123000 -6.43768
123100 -6.44066
123200 -6.47278
123300 -6.46169
